City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
187,thunder bay,48.4001,-89.3168,12.99,71,20,6.91,CA,1694652293
188,seydi,39.4816,62.9137,18.03,34,0,14.34,TM,1694652293
189,kodiak,57.79,-152.4072,11.73,66,40,5.75,US,1694652293
190,zheleznodorozhnyy,55.7503,38.0042,12.98,69,31,4.94,RU,1694652293
191,san martin,-33.081,-68.4681,15.3,19,100,5.21,AR,1694652293
192,fale old settlement,-9.3852,-171.2468,28.39,77,8,13.82,TK,1694652293
193,comendador,18.8775,-71.7028,24.95,78,56,1.79,DO,1694652294
194,kilindoni,-7.9139,39.6668,25.18,75,1,13.47,TZ,1694652294
195,badger,64.8,-147.5333,15.55,52,75,4.61,US,1694652294
196,hengyang,26.8881,112.615,21.62,95,100,3.94,CN,1694652294
197,nadi,-17.8,177.4167,28.0,69,40,13.8,FJ,1694652145
198,kitimat,54.0524,-128.6534,17.21,76,100,5.99,CA,1694652294
199,hovd,48.0056,91.6419,10.83,36,0,5.39,MN,1694652294
200,celendin,-6.8703,-78.1517,15.01,72,74,4.65,PE,1694652294
201,margate,51.3813,1.3862,16.5,81,63,3.0,GB,1694652294
202,barcelos,41.5388,-8.6151,22.14,65,13,4.43,PT,1694652295
203,talara,-4.5772,-81.2719,21.42,83,0,20.24,PE,1694652295
204,zemio,5.0314,25.1361,20.38,97,59,3.2,CF,1694652295
205,vennesla,58.2694,7.9741,9.04,84,100,3.44,NO,1694652295
206,anori,-3.7728,-61.6442,28.64,43,36,3.51,BR,1694652295
207,mingoyo,-10.1,39.6333,19.73,97,99,3.98,TZ,1694652295
208,valparaiso,-33.0393,-71.6273,14.8,67,0,2.3,CL,1694652140
209,bucerias,20.75,-105.3333,28.99,84,100,6.91,MX,1694652295
210,mermoz boabab,14.7065,-17.4758,28.88,84,0,0.0,SN,1694652296
211,elliot lake,46.3834,-82.6331,7.96,64,100,3.11,CA,1694652296
212,shimanovsk,52.0,127.7,12.12,72,58,6.13,RU,1694652296
213,altai,46.3722,96.2583,7.88,63,7,4.76,MN,1694652296
214,stephenville,32.2207,-98.2023,26.0,68,100,0.0,US,1694652296
215,kavieng,-2.5744,150.7967,27.45,81,100,8.95,PG,1694652296
216,rajanpur,29.1035,70.325,30.72,48,0,14.16,PK,1694652296
217,lebu,-37.6167,-73.65,10.73,95,100,24.83,CL,1694652296
218,san juan,-31.5375,-68.5364,14.49,21,97,6.64,AR,1694652042
219,petropavlovsk-kamchatsky,53.0452,158.6483,21.33,64,75,4.47,RU,1694652296
220,hawaiian paradise park,19.5933,-154.9731,29.39,74,5,4.0,US,1694652297
221,viqueque,-8.8673,126.3658,28.08,60,57,9.4,TL,1694652297
222,raduzhny,62.0961,77.475,9.47,69,10,3.98,RU,1694652297
223,tazacorte,28.629,-17.9293,22.54,78,75,12.66,ES,1694652297
224,peniche,39.3558,-9.3811,20.6,93,5,9.28,PT,1694652297
225,acarau,-2.8856,-40.12,25.89,85,1,16.22,BR,1694652297
226,iskateley,67.6803,53.1512,14.42,86,100,19.3,RU,1694652297
227,pawni,20.7833,79.6333,23.16,97,100,4.97,IN,1694652297
228,tostado,-29.232,-61.7692,13.32,35,9,7.09,AR,1694652297
229,afaahiti,-17.75,-149.2833,25.93,73,96,23.33,PF,1694652298
230,namibe,-15.1961,12.1522,15.62,83,95,4.88,AO,1694652298
231,ballina,-28.8667,153.5667,22.1,54,0,8.25,AU,1694652298
232,neryungri,56.6709,124.6491,6.53,79,100,2.84,RU,1694652298
233,constantia,44.1833,28.65,17.61,72,7,13.09,RO,1694652103
234,bandar lampung,-5.4254,105.258,26.13,74,22,6.64,ID,1694652298
235,richards bay,-28.783,32.0377,16.89,70,0,18.54,ZA,1694652298
236,pudasjarvi,65.3833,26.9167,7.61,89,100,3.49,FI,1694652298
237,mount pearl,47.5166,-52.7813,15.64,97,100,8.05,CA,1694652298
238,tondano,1.3038,124.9112,27.05,75,84,5.59,ID,1694652298
239,mombetsu,44.3525,143.3525,20.01,94,75,2.3,JP,1694652299
240,realico,-35.0366,-64.2447,11.53,31,100,7.49,AR,1694652299
241,college,64.8569,-147.8028,15.6,55,75,4.61,US,1694652299
242,ulladulla,-35.35,150.4667,22.3,42,89,5.39,AU,1694652299
243,marquette,46.5333,-87.6335,11.69,92,51,1.01,US,1694652299
244,woolgoolga,-30.1106,153.2007,22.25,62,0,7.34,AU,1694652299
245,pangkalanbuun,-2.6833,111.6167,28.44,66,100,6.42,ID,1694652299
246,xapuri,-10.6517,-68.5044,24.93,80,31,5.23,BR,1694652300
247,afua,-0.1567,-50.3867,25.7,78,33,6.51,BR,1694652300
248,west bay,19.3667,-81.4167,30.04,78,20,10.36,KY,1694652300
249,impfondo,1.6381,18.0667,22.38,96,100,1.74,CG,1694652300
250,nuku'alofa,-21.1333,-175.2,26.19,73,75,14.97,TO,1694652300
251,port mathurin,-19.6833,63.4167,22.34,73,100,13.85,MU,1694652300
252,gokwe,-18.2048,28.9349,12.26,89,0,7.34,ZW,1694652300
253,touros,-5.1989,-35.4608,24.83,83,33,14.7,BR,1694652300
254,bel ombre,-4.6167,55.4167,26.91,83,40,14.97,SC,1694652300
255,urengoy,65.9667,78.3667,10.06,80,7,8.99,RU,1694652301
256,minot air force base,48.4209,-101.3391,24.1,66,0,8.05,US,1694652301
257,fortaleza,-3.7227,-38.5247,27.34,78,40,10.36,BR,1694652106
258,greenville,35.6127,-77.3663,23.09,97,75,0.0,US,1694652301
259,kapa'a,22.0752,-159.319,27.99,83,75,9.22,US,1694652301
260,alice springs,-23.7,133.8833,25.75,13,0,16.11,AU,1694652301
261,geraldton,-28.7667,114.6,19.23,63,75,9.22,AU,1694652301
262,inhambane,-23.865,35.3833,17.16,74,0,4.52,MZ,1694652301
263,paola,39.3599,16.0396,25.62,62,100,2.84,IT,1694652302
264,st. john's,47.5649,-52.7093,16.1,97,100,8.05,CA,1694652302
265,port lincoln,-34.7333,135.8667,23.41,29,100,26.78,AU,1694652302
266,mahbubnagar,16.7333,77.9833,22.19,87,79,8.57,IN,1694652302
